Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"2004","Fencing Women sabre individual","Mariel Zagunis","United States","Tan Xue","China","Sada Jacobson","United States"
"2004","Football Men football","Argentina","Argentina","Paraguay","Paraguay","Italy","Italy"
"2004","Football Women football","United States","United States","Brazil","Brazil","Germany","Germany"
"2004","Gymnastics Men floor exercise","Kyle Shewfelt","Canada","Marian Dr_gulescu","Romania","Yordan Yovchev","Bulgaria"
"2004","Gymnastics Men horizontal bar","Igor Cassina","Italy","Paul Hamm","United States","Isao Yoneda","Japan"
"2004","Gymnastics Men horse vault","Gervasio Deferr","Spain","Jevg__ijs Sapro_enko","Latvia","Marian Dr_gulescu","Romania"
"2004","Gymnastics Men individual all around","Paul Hamm","United States","Kim Dae-Eun","South Korea","Yang Tae-Yeong","South Korea"
"2004","Gymnastics Men parallel bars","Valeriy Honcharov","Ukraine","Hiroyuki Tomita","Japan","Li Xiaopeng","China"
"2004","Gymnastics Men pommelled horse","Teng Haibin","China","Marius Urzic_","Romania","Takehiro Kashima","Japan"
"2004","Gymnastics Men rings","Dimosthenis Tambakos","Greece","Yordan Yovchev","Bulgaria","Jury Chechi","Italy"
"2004","Gymnastics Men team all around","Japan","Japan","United States","United States","Romania","Romania"
"2004","Gymnastics Women balance beam","C_t_lina Ponor","Romania","Carly Patterson","United States","Alexandra Eremia","Romania"
"2004","Gymnastics Women floor exercise","C_t_lina Ponor","Romania","Dana _ofronie","Romania","Patricia Moreno","Spain"
"2004","Gymnastics Women horse vault","Monica Ro_u","Romania","Annia Hatch","United States","Anna Pavlova","Russia"
"2004","Gymnastics Women individual all around","Carly Patterson","United States","Svetlana Khorkina","Russia","Zhang Nan","China"
"2004","Gymnastics Women team all around","Romania","Romania","United States","United States","Russia","Russia"
"2004","Gymnastics Women uneven bars","_milie Le Pennec","France","Terin Humphrey","United States","Courtney Kupets","United States"
"2004","Handball Men handball","Croatia","Croatia","Germany","Germany","Russia","Russia"
"2004","Handball Women handball","Denmark","Denmark","South Korea","South Korea","Ukraine","Ukraine"
"2004","Hockey Men hockey","Australia","Australia","Netherlands","Netherlands","Germany","Germany"
"2004","Hockey Women hockey","Germany","Germany","Netherlands","Netherlands","Argentina","Argentina"
"2004","Judo Men extra lightweight","Tadahiro Nomura","Japan","Nest'or Khergiani","Georgia","['Khashbaataryn Tsagaanbaatar', 'Choi Min-Ho']","['Mongolia', 'South Korea']"
"2004","Judo Men half heavyweight","Igor Makarov","Belarus","Jang Seong-Ho","South Korea","[""Arik Ze'evi"", 'Michael Jurack']","['Israel', 'Germany']"
"2004","Judo Men half lightweight","Masato Uchishiba","Japan","Jozef Krn__","Slovakia","['Georgi Georgiev', 'Yordanis Arencibia']","['Bulgaria', 'Cuba']"
"2004","Judo Men half middleweight","Ilias Iliadis","Greece","Roman Hontiuk","Ukraine","['Fl\xc3\xa1vio Canto', 'Dmitry Nosov']","['Brazil', 'Russia']"
"2004","Judo Men heavyweight","Keiji Suzuki","Japan","Tamerlan Tmenov","Russia","['Indrek Pertelson', 'Dennis van der Geest']","['Estonia', 'Netherlands']"
"2004","Judo Men lightweight","Lee Won-Hui","South Korea","Vitaly Makarov","Russia","['Jimmy Pedro', 'Leandro Guilheiro']","['United States', 'Brazil']"
"2004","Judo Men middleweight","Zurab Zviadauri","Georgia","Hiroshi Izumi","Japan","['Mark Huizinga', 'Khasanbi Taov']","['Netherlands', 'Russia']"
"2004","Judo Women extra lightweight","Ryoko Tamura-Tani","Japan","Fr_d_rique Jossinet","France","['Gao Feng', 'Julia Matijass']","['China', 'Germany']"
"2004","Judo Women half heavyweight","Noriko Anno","Japan","Liu Xia","China","['Lucia Morico', 'Yurisel Laborde']","['Italy', 'Cuba']"
"2004","Judo Women half lightweight","Xian Dongmei","China","Yuki Yokosawa","Japan","['Amarilys Sav\xc3\xb3n', 'Ilse Heylen']","['Cuba', 'Belgium']"
"2004","Judo Women half middleweight","Ayumi Tanimoto","Japan","Claudia Heill","Austria","['Driulys Gonz\xc3\xa1lez', 'Ur\xc5\xa1ka \xc5\xbdolnir']","['Cuba', 'Slovenia']"
"2004","Judo Women heavyweight","Maki Tsukada","Japan","Daima Beltr_n","Cuba","['Sun Fuming', 'Tea Donguzashvili']","['China', 'Russia']"
"2004","Judo Women lightweight","Yvonne B_nisch","Germany","Kye Sun-Hui","North Korea","['Deborah Gravenstijn', 'Yurisleidy Lupetey']","['Netherlands', 'Cuba']"
"2004","Judo Women middleweight","Masae Ueno","Japan","Edith Bosch","Netherlands","['Qin Dongya', 'Annett B\xc3\xb6hm']","['China', 'Germany']"
"2004","Modern Pentathlon Men individual","Andrey Moiseyev","Russia","Andrejus Zadneprovskis","Lithuania","Libor Capalini","Czech Republic"
"2004","Modern Pentathlon Women individual","Zsuzsa V_r_s","Hungary","Je_ena Rub_evska","Latvia","Georgina Harland","Great Britain"
"2004","Rhythmic Gymnastics Women group","Russia","Russia","Italy","Italy","Bulgaria","Bulgaria"
"2004","Rhythmic Gymnastics Women individual","Alina Kabayeva","Russia","Irina Chashchina","Russia","Hanna Bezsonova","Ukraine"
"2004","Rowing Men coxed eights","United States","United States","Netherlands","Netherlands","Australia","Australia"
"2004","Rowing Men coxless fours","Great Britain","Great Britain","Canada","Canada","Italy","Italy"
"2004","Rowing Men coxless pairs","Australia","Australia","Croatia","Croatia","South Africa","South Africa"
"2004","Rowing Men double sculls","France","France","Slovenia","Slovenia","Italy","Italy"
"2004","Rowing Men lightweight coxless fours","Denmark","Denmark","Australia","Australia","Italy","Italy"
"2004","Rowing Men lightweight double sculls","Poland","Poland","France","France","Greece","Greece"
"2004","Rowing Men quadruple sculls","Russia","Russia","Czech Republic","Czech Republic","Ukraine","Ukraine"
"2004","Rowing Men single sculls","Olaf Tufte","Norway","J_ri Jaanson","Estonia","Ivo Yanakiev","Bulgaria"
"2004","Rowing Women coxed eights","Romania","Romania","United States","United States","Netherlands","Netherlands"
"2004","Rowing Women coxless pairs","Romania","Romania","Great Britain","Great Britain","Belarus","Belarus"
"2004","Rowing Women double sculls","New Zealand","New Zealand","Germany","Germany","Great Britain","Great Britain"
"2004","Rowing Women lightweight double sculls","Romania","Romania","Germany","Germany","Netherlands","Netherlands"
"2004","Rowing Women quadruple sculls","Germany","Germany","Great Britain","Great Britain","Australia","Australia"
"2004","Rowing Women single sculls","Katrin Rutschow-Stomporowski","Germany","Yekaterina Khodatovich-Karsten","Belarus","Rumyana Dzhadzharova-Neykova","Bulgaria"
"2004","Sailing Men one person dinghy","Ben Ainslie","Great Britain","Rafael Trujillo","Spain","Mateusz Kusznierewicz","Poland"
"2004","Sailing Men two person dinghy","United States","United States","Great Britain","Great Britain","Japan","Japan"
"2004","Sailing Men two person keelboat","Brazil","Brazil","Canada","Canada","France","France"
"2004","Sailing Men windsurfer","Gal Fridman","Israel","Nikos Kaklamanakis","Greece","Nick Dempsey","Great Britain"
"2004","Sailing Mixed multihull","Austria","Austria","United States","United States","Argentina","Argentina"
"2004","Sailing Mixed one person dinghy","Robert Scheidt","Brazil","Andreas Geritzer","Austria","Vasilij _bogar","Slovenia"
"2004","Sailing Mixed skiff","Spain","Spain","Ukraine","Ukraine","Great Britain","Great Britain"
"2004","Sailing Women one person dinghy","Siren Sundby","Norway","Lenka _m_dov_","Czech Republic","Signe Livbjerg","Denmark"
"2004","Sailing Women three person keelboat","Great Britain","Great Britain","Ukraine","Ukraine","Denmark","Denmark"
"2004","Sailing Women two person dinghy","Greece","Greece","Spain","Spain","Sweden","Sweden"
"2004","Sailing Women windsurfer","Faustine Merret","France","Yin Jian","China","Alessandra Sensini","Italy"
"2004","Shooting Men air pistol 10 metres","Wang Yifu","China","Mikhail Nestruyev","Russia","Vladimir Isakov","Russia"
"2004","Shooting Men air rifle 10 metres","Zhu Qinan","China","Li Jie","China","Jozef G_nci","Slovakia"
"2004","Shooting Men double trap","Ahmed Al-Maktoum","United Arab Emirates","Rajyavardhan Rathore","India","Wang Zheng","China"
"2004","Shooting Men free pistol 50 metres","Mikhail Nestruyev","Russia","Jin Jong-O","South Korea","Kim Jong-Su","North Korea"
"2004","Shooting Men rapid fire pistol 25 metres","Ralf Schumann","Germany","Sergey Polyakov","Russia","Sergey Alifirenko","Russia"
"2004","Shooting Men running target 10 metres","Manfred Kurzer","Germany","Aleksandr Blinov","Russia","Dmitry Lykin","Russia"
"2004","Shooting Men skeet","Andrea Benelli","Italy","Marko Kemppainen","Finland","Juan Miguel Rodr_guez","Cuba"
"2004","Shooting Men small bore rifle prone 50 metres","Matt Emmons","United States","Christian Lusch","Germany","Sergey Martynov","Belarus"
"2004","Shooting Men small bore rifle three positions 50 metres","Jia Zhanbo","China","Mike Anti","United States","Christian Planer","Austria"
"2004","Shooting Men trap","Aleksey Alipov","Russia","Giovanni Pellielo","Italy","Adam Vella","Australia"
"2004","Shooting Women air pistol 10 metres","Olena Kostevych","Ukraine","Jasna _ekari_","Serbia and Montenegro","Mariya Grozdeva","Bulgaria"
"2004","Shooting Women air rifle 10 metres","Du Li","China","Lyubov Galkina","Russia","Kate_ina K_rkov_-Emmons","Czech Republic"
"2004","Shooting Women double trap","Kim Rhode","United States","Lee Bo-Na","South Korea","Gao E","China"
"2004","Shooting Women skeet","Di_na Igaly","Hungary","Wei Ning","China","Zemfira Meft_kh_tddinova","Azerbaijan"
"2004","Shooting Women small bore rifle three positions 50 metres","Lyubov Galkina","Russia","Valentina Turisini","Italy","Wang Chengyi","China"
"2004","Shooting Women sporting pistol 25 metres","Mariya Grozdeva","Bulgaria","Lenka Hykov_-Maru_kov_","Czech Republic","_rad_ A_umova","Azerbaijan"
"2004","Shooting Women trap","Suzy Balogh","Australia","Mar_a Quintanal","Spain","Lee Bo-Na","South Korea"
"2004","Softball Women softball","United States","United States","Australia","Australia","Japan","Japan"
"2004","Swimming Men 100 metres backstroke","Aaron Peirsol","United States","Markus Rogan","Austria","Tomomi Morita","Japan"
"2004","Swimming Men 100 metres breaststroke","Kosuke Kitajima","Japan","Brendan Hansen","United States","Hugues Duboscq","France"
"2004","Swimming Men 100 metres butterfly","Michael Phelps","United States","Ian Crocker","United States","Andriy Serdinov","Ukraine"
"2004","Swimming Men 100 metres freestyle","Pieter van den Hoogenband","Netherlands","Roland Schoeman","South Africa","Ian Thorpe","Australia"
"2004","Swimming Men 1500 metres freestyle","Grant Hackett","Australia","Larsen Jensen","United States","Dave Davies","Great Britain"
"2004","Swimming Men 200 metres backstroke","Aaron Peirsol","United States","Markus Rogan","Austria","R_zvan Florea","Romania"
"2004","Swimming Men 200 metres breaststroke","Kosuke Kitajima","Japan","D_niel Gyurta","Hungary","Brendan Hansen","United States"
"2004","Swimming Men 200 metres butterfly","Michael Phelps","United States","Takashi Yamamoto","Japan","Steve Parry","Great Britain"
"2004","Swimming Men 200 metres freestyle","Ian Thorpe","Australia","Pieter van den Hoogenband","Netherlands","Michael Phelps","United States"
"2004","Swimming Men 200 metres individual medley","Michael Phelps","United States","Ryan Lochte","United States","George Bovell","Trinidad and Tobago"
"2004","Swimming Men 4 x 100 metres freestyle relay","South Africa","South Africa","Netherlands","Netherlands","United States","United States"
"2004","Swimming Men 4 x 100 metres medley relay","United States","United States","Germany","Germany","Japan","Japan"
"2004","Swimming Men 4 x 200 metres freestyle relay","United States","United States","Australia","Australia","Italy","Italy"
"2004","Swimming Men 400 metres freestyle","Ian Thorpe","Australia","Grant Hackett","Australia","Klete Keller","United States"
"2004","Swimming Men 400 metres individual medley","Michael Phelps","United States","Erik Vendt","United States","L_szl_ Cseh, Jr.","Hungary"
"2004","Swimming Men 50 metres freestyle","Gary Hall, Jr.","United States","Duje Draganja","Croatia","Roland Schoeman","South Africa"
"2004","Swimming Women 100 metres backstroke","Natalie Coughlin","United States","Kirsty Coventry","Zimbabwe","Laure Manaudou","France"
"2004","Swimming Women 100 metres breaststroke","Luo Xuejuan","China","Brooke Hanson","Australia","Leisel Jones","Australia"
"2004","Swimming Women 100 metres butterfly","Petria Thomas","Australia","Otylia J_drzejczak","Poland","Inge de Bruijn","Netherlands"
"2004","Swimming Women 100 metres freestyle","Jodie Henry","Australia","Inge de Bruijn","Netherlands","Natalie Coughlin","United States"
"2004","Swimming Women 200 metres backstroke","Kirsty Coventry","Zimbabwe","Stanislava Komarova","Russia","['Antje Buschschulte', 'Reiko Nakamura']","['Germany', 'Japan']"
"2004","Swimming Women 200 metres breaststroke","Amanda Beard","United States","Leisel Jones","Australia","Anne Poleska","Germany"
"2004","Swimming Women 200 metres butterfly","Otylia J_drzejczak","Poland","Petria Thomas","Australia","Yuko Nakanishi","Japan"
"2004","Swimming Women 200 metres freestyle","Camelia Potec","Romania","Federica Pellegrini","Italy","Solenne Figu_s","France"
"2004","Swimming Women 200 metres individual medley","Yana Klochkova","Ukraine","Amanda Beard","United States","Kirsty Coventry","Zimbabwe"
"2004","Swimming Women 4 x 100 metres freestyle relay","Australia","Australia","United States","United States","Netherlands","Netherlands"
"2004","Swimming Women 4 x 100 metres medley relay","Australia","Australia","United States","United States","Germany","Germany"
"2004","Swimming Women 4 x 200 metres freestyle relay","United States","United States","China","China","Germany","Germany"
"2004","Swimming Women 400 metres freestyle","Laure Manaudou","France","Otylia J_drzejczak","Poland","Kaitlin Sandeno","United States"
"2004","Swimming Women 400 metres individual medley","Yana Klochkova","Ukraine","Kaitlin Sandeno","United States","Georgina Bardach","Argentina"
"2004","Swimming Women 50 metres freestyle","Inge de Bruijn","Netherlands","Malia Metella","France","Libby Lenton-Trickett","Australia"
"2004","Swimming Women 800 metres freestyle","Ai Shibata","Japan","Laure Manaudou","France","Diana Munz","United States"
"2004","Synchronized Swimming Women duet","Russia","Russia","Japan","Japan","United States","United States"
"2004","Synchronized Swimming Women team","Russia","Russia","Japan","Japan","United States","United States"
"2004","Table Tennis Men doubles","China","China","Hong Kong","Hong Kong","Denmark","Denmark"
"2004","Table Tennis Men singles","Yu Seung-Min","South Korea","Wang Hao","China","Wang Liqin","China"
"2004","Table Tennis Women doubles","China","China","South Korea","South Korea","China","China"
"2004","Table Tennis Women singles","Zhang Yining","China","Kim Hyang-Mi","North Korea","Kim Gyeong-A","South Korea"
"2004","Taekwondo Men featherweight","Hadi Saei","Iran","Huang Chih-Hsiung","Chinese Taipei","Song Myeong-Seop","South Korea"
"2004","Taekwondo Men flyweight","Chu Mu-Yen","Chinese Taipei","_scar Salazar","Mexico","Tamer Salah","Egypt"
"2004","Taekwondo Men heavyweight","Mun Dae-Seong","South Korea","Alexandros Nikolaidis","Greece","Pascal Gentil","France"
"2004","Taekwondo Men welterweight","Steven Lopez","United States","Bahri Tanr_kulu","Turkey","Yousef Karami","Iran"
"2004","Taekwondo Women featherweight","Jang Ji-Won","South Korea","Nia Abdallah","United States","Iridia Salazar","Mexico"
"2004","Taekwondo Women flyweight","Chen Shih-Hsien","Chinese Taipei","Yanely Labrada","Cuba","Yaowapa Boorapolchai","Thailand"
"2004","Taekwondo Women heavyweight","Chen Zhong","China","Myriam Baverel","France","Adriana Carmona","Venezuela"
"2004","Taekwondo Women welterweight","Luo Wei","China","Elli Mystakidou","Greece","Hwang Gyeong-Seon","South Korea"
"2004","Tennis Men doubles","Chile","Chile","Germany","Germany","Croatia","Croatia"
"2004","Tennis Men singles","Nicol_s Mass_","Chile","Mardy Fish","United States","Fernando Gonz_lez","Chile"
"2004","Tennis Women doubles","China","China","Spain","Spain","Argentina","Argentina"
"2004","Tennis Women singles","Justine Henin-Hardenne","Belgium","Am_lie Mauresmo","France","Alicia Molik","Australia"
"2004","Trampolining Men individual","Yuriy Nikitin","Ukraine","Aleksandr Moskalenko","Russia","Henrik Stehlik","Germany"
"2004","Trampolining Women individual","Anna Dogonadze-Lilkendey","Germany","Karen Cockburn","Canada","Huang Shanshan","China"
"2004","Triathlon Men olympic distance","Hamish Carter","New Zealand","Bevan Docherty","New Zealand","Sven Riederer","Switzerland"
"2004","Triathlon Women olympic distance","Kate Allen","Austria","Loretta Harrop","Australia","Susan Williams","United States"
"2004","Volleyball Men volleyball","Brazil","Brazil","Italy","Italy","Russia","Russia"
"2004","Volleyball Women volleyball","China","China","Russia","Russia","Cuba","Cuba"
"2004","Water Polo Men water polo","Hungary","Hungary","Serbia and Montenegro","Serbia and Montenegro","Russia","Russia"
"2004","Water Polo Women water polo","Italy","Italy","Greece","Greece","United States","United States"
"2004","Weightlifting Men bantamweight","Halil Mutlu","Turkey","Wu Meijin","China","Sedat Artu_","Turkey"
"2004","Weightlifting Men featherweight","Shi Zhiyong","China","Le Maosheng","China","Israel Jos_ Rubio","Venezuela"
"2004","Weightlifting Men heavyweight","Dmitry Berestov","Russia","Ihor Razoronov","Ukraine","Gleb Pisarevsky","Russia"
"2004","Weightlifting Men light heavyweight","Giorgi Asanidze","Georgia","Andrey Rybakov","Belarus","Pyrros Dimas","Greece"
"2004","Weightlifting Men lightweight","Zhang Guozheng","China","Lee Bae-Yeong","South Korea","Nikolay Peshalov","Croatia"
"2004","Weightlifting Men middle heavyweight","Milen Dobrev","Bulgaria","Khadzhimurat Akkayev","Russia","Eduard Tyukin","Russia"
"2004","Weightlifting Men middleweight","Taner Sa__r","Turkey","Sergey Filimonov","Kazakhstan","Reyhan Arabac_o_lu","Turkey"
"2004","Weightlifting Men super heavyweight","Hossein Reza Zadeh","Iran","Viktors __erbatihs","Latvia","Veli_ko _olakov","Bulgaria"
"2004","Weightlifting Women featherweight","Udomporn Polsak","Thailand","Raema Lisa Rumbewas","Indonesia","Mabel Mosquera","Colombia"
"2004","Weightlifting Women flyweight","Nurcan Taylan","Turkey","Li Zhuo","China","Arlee Wiratthaworn","Thailand"
"2004","Weightlifting Women heavyweight","Pawina Thongsuk","Thailand","Nataliya Zabolotnaya","Russia","Valentina Popova","Russia"
"2004","Weightlifting Women light heavyweight","Liu Chunhong","China","Eszter Krutzler","Hungary","Zarema Kasayeva","Russia"
"2004","Weightlifting Women lightweight","Chen Yanqing","China","Ri Song-Hui","North Korea","Wandee Kameaim","Thailand"
"2004","Weightlifting Women middleweight","Nataliya Skakun","Ukraine","Anna Batyushko","Belarus","Tatyana Stukalova","Belarus"
"2004","Weightlifting Women super heavyweight","Tang Gonghong","China","Jang Mi-Ran","South Korea","Agata Wr_bel","Poland"
"2004","Wrestling Men featherweight freestyle","Mavlet Batyrov","Russia","Stephen Abas","United States","Chikara Tanabe","Japan"
"2004","Wrestling Men featherweight greco roman","Istv_n Majoros","Hungary","Gaydar Mamedaliyev","Russia","Artyom Kiouregkian","Greece"
"2004","Wrestling Men heavyweight freestyle","Khadzhimurat Gatsalov","Russia","Magamed Ibragimov","Uzbekistan","Ali Reza Heidari","Iran"
"2004","Wrestling Men heavyweight greco roman","Karam Gaber","Egypt","Ramaz Nozadze","Georgia","Mehmet _zal","Turkey"
"2004","Wrestling Men light heavyweight freestyle","Cael Sanderson","United States","Mun Ui-Je","South Korea","Sazhid Sazhidov","Russia"
"2004","Wrestling Men light heavyweight greco roman","Aleksey Mishin","Russia","Ara Abrahamian","Sweden","Vyacheslav Makarenko","Belarus"
"2004","Wrestling Men lightweight freestyle","Yandro Quintana","Cuba","Masoud Mostafa Jokar","Iran","Kenji Inoue","Japan"
"2004","Wrestling Men lightweight greco roman","Jeong Ji-Hyeon","South Korea","Roberto Monz_n","Cuba","Armen Nazaryan","Bulgaria"
"2004","Wrestling Men middleweight freestyle","Buvaysar Saytiyev","Russia","Gennady Laliyev","Kazakhstan","Iv_n Fundora","Cuba"
"2004","Wrestling Men middleweight greco roman","Aleksandr Dokturishvili","Uzbekistan","Marko Yli-Hannuksela","Finland","Varteres Samurgashev","Russia"
"2004","Wrestling Men super heavyweight freestyle","Artur Taymazov","Uzbekistan","Ali Reza Rezaei","Iran","Ayd_n Polat__","Turkey"
"2004","Wrestling Men super heavyweight greco roman","Khasan Baroyev","Russia","Georgy Tsurtsumia","Kazakhstan","Rulon Gardner","United States"
"2004","Wrestling Men welterweight freestyle","Elbrus Tedieiev","Ukraine","Jamill Kelly","United States","Makhach Murtazaliyev","Russia"
"2004","Wrestling Men welterweight greco roman","F_rid M_nsurov","Azerbaijan","_eref Ero_lu","Turkey","Mkhitar Manukyan","Kazakhstan"
"2004","Wrestling Women flyweight freestyle","Iryna Merleni-Mykulchyn","Ukraine","Chiharu Icho","Japan","Patricia Miranda","United States"
"2004","Wrestling Women heavyweight freestyle","Wang Xu","China","Gyuzel Manyurova","Russia","Kyoko Hamaguchi","Japan"
"2004","Wrestling Women lightweight freestyle","Saori Yoshida","Japan","Tonya Verbeek","Canada","Anna Gomis","France"
"2004","Wrestling Women middleweight freestyle","Kaori Icho","Japan","Sara McMann","United States","Lise Legrand","France"
"2002","Alpine Skiing Men combined","Kjetil Andr_ Aamodt","Norway","Bode Miller","United States","Benjamin Raich","Austria"
"2002","Alpine Skiing Men downhill","Fritz Strobl","Austria","Lasse Kjus","Norway","Stephan Eberharter","Austria"
"2002","Alpine Skiing Men giant slalom","Stephan Eberharter","Austria","Bode Miller","United States","Lasse Kjus","Norway"
"2002","Alpine Skiing Men slalom","Jean-Pierre Vidal","France","S_bastien Amiez","France","Benjamin Raich","Austria"
"2002","Alpine Skiing Men super g","Kjetil Andr_ Aamodt","Norway","Stephan Eberharter","Austria","Andreas Schifferer","Austria"
"2002","Alpine Skiing Women combined","Janica Kosteli_","Croatia","Renate G_tschl","Austria","Martina Ertl-Renz","Germany"
"2002","Alpine Skiing Women downhill","Carole Montillet-Carles","France","Isolde Kostner","Italy","Renate G_tschl","Austria"
"2002","Alpine Skiing Women giant slalom","Janica Kosteli_","Croatia","Anja P_rson","Sweden","Sonja Nef","Switzerland"
"2002","Alpine Skiing Women slalom","Janica Kosteli_","Croatia","Laure Pequegnot","France","Anja P_rson","Sweden"
"2002","Alpine Skiing Women super g","Daniela Ceccarelli","Italy","Janica Kosteli_","Croatia","Karen Putzer","Italy"
"2002","Biathlon Men 10 kilometres sprint","Ole Einar Bj_rndalen","Norway","Sven Fischer","Germany","Wolfgang Perner","Austria"
"2002","Biathlon Men 12_5 kilometres pursuit","Ole Einar Bj_rndalen","Norway","Rapha_l Poir_e","France","Ricco Gro_","Germany"
"2002","Biathlon Men 20 kilometres","Ole Einar Bj_rndalen","Norway","Frank Luck","Germany","Viktor Maygurov","Russia"
"2002","Biathlon Men 4 x 7_5 kilometres relay","Norway","Norway","Germany","Germany","France","France"
"2002","Biathlon Women 10 kilometres pursuit","Olga Pylyova-Medvedtseva","Russia","Kati Wilhelm","Germany","Irina Nikulchina","Bulgaria"
"2002","Biathlon Women 15 kilometres","Andrea Henkel","Germany","Liv Grete Skjelbreid-Poir_e","Norway","Magdalena Wallin-Forsberg","Sweden"
"2002","Biathlon Women 4 x 7_5 kilometres relay","Germany","Germany","Norway","Norway","Russia","Russia"
"2002","Biathlon Women 7_5 kilometres sprint","Kati Wilhelm","Germany","Uschi Disl","Germany","Magdalena Wallin-Forsberg","Sweden"
"2002","Bobsleigh Men four","Germany","Germany","United States","United States","United States","United States"
"2002","Bobsleigh Men two","Germany","Germany","Switzerland","Switzerland","Switzerland","Switzerland"
"2002","Bobsleigh Women two","United States","United States","Germany","Germany","Germany","Germany"
"2002","Cross Country Skiing Men 10 10 kilometres pursuit","['Thomas Alsgaard', 'Frode Estil']","['Norway', 'Norway']",,,"Per Elofsson","Sweden"
"2002","Cross Country Skiing Men 15 kilometres","Andrus Veerpalu","Estonia","Frode Estil","Norway","Jaak Mae","Estonia"
"2002","Cross Country Skiing Men 30 kilometres","Christian Hoffmann","Austria","Mikhail Botvinov","Austria","Kristen Skjeldal","Norway"
"2002","Cross Country Skiing Men 4 x 10 kilometres relay","Norway","Norway","Italy","Italy","Germany","Germany"
"2002","Cross Country Skiing Men 50 kilometres","Mikhail Ivanov","Russia","Andrus Veerpalu","Estonia","Odd-Bj_rn Hjelmeset","Norway"
"2002","Cross Country Skiing Men sprint","Tor-Arne Hetland","Norway","Peter Schlickenrieder","Germany","Cristian Zorzi","Italy"
"2002","Cross Country Skiing Women 10 kilometres","Bente Skari-Martinsen","Norway","Yuliya Chepalova","Russia","Stefania Belmondo","Italy"
"2002","Cross Country Skiing Women 15 kilometres","Stefania Belmondo","Italy","Kate_ina Neumannov_","Czech Republic","Yuliya Chepalova","Russia"
"2002","Cross Country Skiing Women 30 kilometres","Gabriella Paruzzi","Italy","Stefania Belmondo","Italy","Bente Skari-Martinsen","Norway"
"2002","Cross Country Skiing Women 4 x 5 kilometres relay","Germany","Germany","Norway","Norway","Switzerland","Switzerland"
"2002","Cross Country Skiing Women 5 5 kilometres pursuit","Beckie Scott","Canada","Kate_ina Neumannov_","Czech Republic","Viola Bauer","Germany"
"2002","Cross Country Skiing Women sprint","Yuliya Chepalova","Russia","Evi Sachenbacher-Stehle","Germany","Anita Moen-Guidon","Norway"
"2002","Curling Men curling","Norway","Norway","Canada","Canada","Switzerland","Switzerland"
"2002","Curling Women curling","Great Britain","Great Britain","Switzerland","Switzerland","Canada","Canada"
"2002","Figure Skating Men singles","Aleksey Yagudin","Russia","Yevgeny Plyushchenko","Russia","Timothy Goebel","United States"
"2002","Figure Skating Mixed ice dancing","France","France","Russia","Russia","Italy","Italy"
"2002","Figure Skating Mixed pairs","['Canada', 'Russia']","['Canada', 'Russia']",,,"China","China"
"2002","Figure Skating Women singles","Sarah Hughes","United States","Irina Slutskaya","Russia","Michelle Kwan","United States"
"2002","Freestyle Skiing Men aerials","Ale_ Valenta","Czech Republic","Joe Pack","United States","Aleksey Grishin","Belarus"
"2002","Freestyle Skiing Men moguls","Janne Lahtela","Finland","Travis Mayer","United States","Richard Gay","France"
"2002","Freestyle Skiing Women aerials","Alisa Camplin","Australia","Veronica Brenner","Canada","Deidra Dionne","Canada"
"2002","Freestyle Skiing Women moguls","Kari Traa","Norway","Shannon Bahrke","United States","Tae Satoya","Japan"
"2002","Ice Hockey Men ice hockey","Canada","Canada","United States","United States","Russia","Russia"
"2002","Ice Hockey Women ice hockey","Canada","Canada","United States","United States","Sweden","Sweden"
"2002","Luge Men singles","Armin Z_ggeler","Italy","Georg Hackl","Germany","Markus Prock","Austria"
"2002","Luge Mixed Men doubles","Germany","Germany","United States","United States","United States","United States"
"2002","Luge Women singles","Sylke Otto","Germany","Babsi Niedernhuber","Germany","Silke Kraushaar","Germany"
"2002","Nordic Combined Men individual","Samppa Lajunen","Finland","Jaakko Tallus","Finland","Felix Gottwald","Austria"
"2002","Nordic Combined Men sprint","Samppa Lajunen","Finland","Ronny Ackermann","Germany","Felix Gottwald","Austria"
"2002","Nordic Combined Men team","Finland","Finland","Germany","Germany","Austria","Austria"
"2002","Short Track Speed Skating Men 1000 metres","Steven Bradbury","Australia","Apolo Anton Ohno","United States","Mathieu Turcotte","Canada"
"2002","Short Track Speed Skating Men 1500 metres","Apolo Anton Ohno","United States","Li Jiajun","China","Marc Gagnon","Canada"
"2002","Short Track Speed Skating Men 500 metres","Marc Gagnon","Canada","Jonathan Guilmette","Canada","Rusty Smith","United States"
"2002","Short Track Speed Skating Men 5000 metres relay","Canada","Canada","Italy","Italy","China","China"
"2002","Short Track Speed Skating Women 1000 metres","Yang Yang (A)","China","Go Gi-Hyeon","South Korea","Yang Yang (S)","China"
"2002","Short Track Speed Skating Women 1500 metres","Go Gi-Hyeon","South Korea","Choi Eun-Gyeong","South Korea","Evgeniya Radanova","Bulgaria"
"2002","Short Track Speed Skating Women 3000 metres relay","South Korea","South Korea","China","China","Canada","Canada"
"2002","Short Track Speed Skating Women 500 metres","Yang Yang (A)","China","Evgeniya Radanova","Bulgaria","Wang Chunlu","China"
"2002","Skeleton Men skeleton","Jim Shea, Jr.","United States","Martin Rettl","Austria","Gregor St_hli","Switzerland"
