Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1968","Equestrianism Mixed three day event team","Great Britain","Great Britain","United States","United States","Australia","Australia"
"1968","Fencing Men epee individual","Gy_z_ Kulcs_r","Hungary","Hryhoriy Kriss","Soviet Union","Gianluigi Saccaro","Italy"
"1968","Fencing Men epee team","Hungary","Hungary","Soviet Union","Soviet Union","Poland","Poland"
"1968","Fencing Men foil individual","Ion Dr_mb_","Romania","Jen_ Kamuti","Hungary","Daniel Revenu","France"
"1968","Fencing Men foil team","France","France","Soviet Union","Soviet Union","Poland","Poland"
"1968","Fencing Men sabre individual","Jerzy Paw_owski","Poland","Mark Rakita","Soviet Union","Tibor P_zsa","Hungary"
"1968","Fencing Men sabre team","Soviet Union","Soviet Union","Italy","Italy","Hungary","Hungary"
"1968","Fencing Women foil individual","Yelena Novikova-Belova","Soviet Union","Pilar Rold_n","Mexico","Ildik_ Rejt_-Ujlaky-S_gi","Hungary"
"1968","Fencing Women foil team","Soviet Union","Soviet Union","Hungary","Hungary","Romania","Romania"
"1968","Figure Skating Men singles","Wolfgang Schwarz","Austria","Tim Wood","United States","Patrick Pera","France"
"1968","Figure Skating Mixed pairs","Soviet Union","Soviet Union","Soviet Union","Soviet Union","West Germany","West Germany"
"1968","Figure Skating Women singles","Peggy Fleming","United States","Gabriele Seyfert","East Germany","Hana Ma_kov_","Czechoslovakia"
"1968","Football Men football","Hungary","Hungary","Bulgaria","Bulgaria","Japan","Japan"
"1968","Gymnastics Men floor exercise","Sawao Kato","Japan","Akinori Nakayama","Japan","Takeshi Kato","Japan"
"1968","Gymnastics Men horizontal bar","['Akinori Nakayama', 'Mikhail Voronin']","['Japan', 'Soviet Union']",,,"Eizo Kenmotsu","Japan"
"1968","Gymnastics Men horse vault","Mikhail Voronin","Soviet Union","Yukio Endo","Japan","Sergey Diomidov","Soviet Union"
"1968","Gymnastics Men individual all around","Sawao Kato","Japan","Mikhail Voronin","Soviet Union","Akinori Nakayama","Japan"
